Matricula,P1,P2,P3,E,Freq
GRR20160224,9.27,NA,NA,NA,13
GRR20160304,NA,NA,NA,NA,4
GRR20160234,7.62,NA,NA,NA,5
GRR20160218,6.05,6.475,5.29807692307692,3.43055555555556,13
GRR20160220,9.42,7.95,7.14423076923077,NA,8
GRR20160213,7.24,8.65,7.77884615384615,NA,13
GRR20160214,1.81,8.075,3.60576923076923,3.05555555555556,14
GRR20160222,3.15,6.165,5.45673076923077,5.72222222222222,12
GRR20160023,9.17,5.025,9.23076923076923,NA,11
GRR20160223,7.58,8.74,6.28846153846154,NA,13
GRR20159352,NA,NA,NA,NA,0
GRR20160226,7.1,7.525,8.20192307692308,NA,16
GRR20160205,3.11,NA,NA,NA,11
GRR20160239,9.71,8,6.39423076923077,NA,12
GRR20160235,6.87,8.505,7.75961538461538,NA,14
GRR20160212,NA,NA,NA,NA,1
GRR20160204,5.62,8.33,6.58173076923077,NA,16
GRR20160232,1.87,NA,NA,NA,3
GRR20160237,7.85,8.225,7.21153846153846,NA,15
GRR20159409,10,NA,NA,NA,0
GRR20160215,5.1,6.975,7.43269230769231,NA,16
GRR20160230,7.7,7.1,7.71153846153846,NA,15
GRR20165725,NA,NA,NA,NA,0
GRR20160210,9.98,8.615,5.77884615384615,NA,13
GRR20160216,6.66,8.49,7.02884615384615,NA,14
GRR20160228,NA,NA,NA,NA,3
GRR20160221,7.14,7.075,8.20192307692308,NA,14
GRR20160229,3.48,0,0.307692307692303,NA,15
GRR20160219,9.98,8.54,9.5,NA,16
GRR20159775,7.02,6.2,3.99038461538461,0,14
GRR20159136,7.28,5.08,7.95192307692308,NA,12
GRR20159322,4.6,7.01,4.5,1.83333333333333,11
GRR20160231,8.84,8,6.83653846153846,NA,15
GRR20160242,7.74,6.8,4.73076923076923,7.11111111111111,13
GRR20162949,NA,NA,NA,NA,1
GRR20160209,NA,NA,NA,NA,0
GRR20160236,NA,NA,NA,NA,1
GRR20159417,4.27,5.285,4.23076923076923,2.75,13
GRR20159826,6.83,6.975,4.92307692307692,5.54166666666667,14
GRR20149114,NA,3.155,NA,NA,8
GRR20160225,7.45,6.025,7.51923076923077,NA,13
GRR20160240,7.43,6.2,4.41346153846154,3.44444444444444,15
GRR20160206,10,7.48,9.07692307692308,NA,14
GRR20160238,8.69,8.93,8.88461538461538,NA,12
GRR20160217,10,7.59,9.07692307692308,NA,11
GRR20159858,7.37,4.085,2.73076923076923,3.94444444444444,12
GRR20160227,1.81,0.5,1.3076923076923,NA,14
GRR20159999,NA,NA,NA,NA,9
GRR20159350,NA,NA,NA,NA,7
GRR20160233,2.2,4.9,NA,NA,16
GRR20159393,NA,NA,NA,NA,2
GRR20165740,NA,NA,NA,NA,1
GRR20160203,7.89,5.725,6.39423076923077,NA,14
GRR20160208,7.14,7.8,7.09615384615384,NA,16
GRR20160211,6.62,3.83,NA,NA,16
GRR20160194,5.54,7.25,8.20192307692308,NA,13
